Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 11,O=C(Nc1cccc2c1CCCC2)CNc1ccccn1,C17H19N3O,281.35,21,12,0.29,5,2,2,84.81,54.02,2.6,3.45,2.63,2.31,3.02,2.8,-3.85,0.0397,0.00014099999999999998,Soluble,-4.27,0.0153,5.42e-05,Moderately soluble,-6.1,0.000221,7.87e-07,Poorly soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.57,0,0,0,0,0,0.55,0,0,0,2.53
Molecule 12,CCS[C@H](c1noc(n1)COC(=O)c1cc(F)cc2c1[nH]nn2)C,C14H14FN5O3S,351.36,24,14,0.36,7,8,1,84.45,132.09,2.71,2.05,2.59,2.13,3.04,2.5,-3.28,0.185,0.000525,Soluble,-4.45,0.0124,3.53e-05,Moderately soluble,-5.2,0.00224,6.37e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.99,0,0,0,1,0,0.55,0,0,1,3.67
Molecule 13,O=C(/C(=C(\C1CC1)/C)/F)NCc1ccnc(c1)N1CCCC1,C17H22FN3O,303.37,22,6,0.53,6,3,1,87.96,45.23,2.77,3.21,2.78,2.32,3.07,2.83,-3.55,0.0857,0.000282,Soluble,-3.83,0.0447,0.000147,Soluble,-4.22,0.0183,6.04e-05,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,No,-5.87,0,0,0,0,0,0.55,0,1,0,2.84
Molecule 14,OC[C@@H](NC(=O)CCc1n[nH]cn1)CNC(=O)[C@@H]1CCCC1(C)C,C16H27N5O3,337.42,24,5,0.75,10,5,4,88.63,120.0,1.12,0.6,0.16,-0.28,1.71,0.66,-1.8,5.3,0.0157,Very soluble,-2.69,0.6829999999999999,0.00202,Soluble,-3.85,0.0481,0.000143,Soluble,High,No,Yes,No,No,No,No,No,-7.93,0,0,0,0,0,0.55,0,0,1,3.73
Molecule 15,O=C(/C(=C(/C1CC1)\C)/F)NCc1ccnc(c1)N1CCCC1,C17H22FN3O,303.37,22,6,0.53,6,3,1,87.96,45.23,2.97,3.21,2.78,2.32,3.07,2.87,-3.55,0.0857,0.000282,Soluble,-3.83,0.0447,0.000147,Soluble,-4.22,0.0183,6.04e-05,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,No,-5.87,0,0,0,0,0,0.55,0,1,0,2.84
Molecule 16,OC[C@H](NC(=O)C1(CC1)C(F)(F)F)CNC(=O)Cc1ccco1,C14H17F3N2O4,334.29,23,5,0.57,10,7,3,71.92,91.57,1.75,0.32,1.96,-0.03,2.28,1.25,-1.62,8.11,0.0243,Very soluble,-1.81,5.22,0.0156,Very soluble,-3.98,0.0353,0.000106,Soluble,High,No,Yes,No,No,No,No,No,-8.11,0,0,0,0,0,0.55,0,0,1,3.19
Molecule 17,COc1ccccc1[C@@H](c1nccn1C)NC(=O)c1cn(c(=O)n1C)C,C18H21N5O3,355.39,26,16,0.28,6,4,1,96.73,83.08,2.96,0.29,0.66,0.31,0.78,1.0,-2.29,1.84,0.00518,Soluble,-1.6,8.99,0.0253,Very soluble,-3.83,0.0521,0.000147,Soluble,High,No,Yes,No,No,No,No,No,-8.26,0,0,0,0,0,0.55,0,0,1,3.31
Molecule 18,COc1ccccc1[C@H](c1nccn1C)NC(=O)c1cn(c(=O)n1C)C,C18H21N5O3,355.39,26,16,0.28,6,4,1,96.73,83.08,2.97,0.29,0.66,0.31,0.78,1.0,-2.29,1.84,0.00518,Soluble,-1.6,8.99,0.0253,Very soluble,-3.83,0.0521,0.000147,Soluble,High,No,Yes,No,No,No,No,No,-8.26,0,0,0,0,0,0.55,0,0,1,3.31
Molecule 19,C[C@H]1Cc2c(N1C(=O)[C@H]1OCCN(C1=O)C)cccc2,C15H18N2O3,274.32,20,6,0.47,2,3,0,81.46,49.85,2.36,1.14,0.06,0.88,1.24,1.14,-2.35,1.23,0.00448,Soluble,-1.78,4.54,0.0166,Very soluble,-2.62,0.657,0.00239,Soluble,High,No,No,No,No,No,No,No,-7.16,0,0,0,0,0,0.55,0,1,0,3.05
Molecule 20,C[C@H]1Cc2c(N1C(=O)[C@@H]1OCCN(C1=O)C)cccc2,C15H18N2O3,274.32,20,6,0.47,2,3,0,81.46,49.85,2.24,1.14,0.06,0.88,1.24,1.11,-2.35,1.23,0.00448,Soluble,-1.78,4.54,0.0166,Very soluble,-2.62,0.657,0.00239,Soluble,High,No,No,No,No,No,No,No,-7.16,0,0,0,0,0,0.55,0,1,0,3.05
Molecule 21,C[C@@H]1Cc2c(N1C(=O)[C@H]1OCCN(C1=O)C)cccc2,C15H18N2O3,274.32,20,6,0.47,2,3,0,81.46,49.85,2.45,1.14,0.06,0.88,1.24,1.15,-2.35,1.23,0.00448,Soluble,-1.78,4.54,0.0166,Very soluble,-2.62,0.657,0.00239,Soluble,High,No,No,No,No,No,No,No,-7.16,0,0,0,0,0,0.55,0,1,0,3.05
Molecule 22,C[C@@H]1Cc2c(N1C(=O)[C@@H]1OCCN(C1=O)C)cccc2,C15H18N2O3,274.32,20,6,0.47,2,3,0,81.46,49.85,2.56,1.14,0.06,0.88,1.24,1.18,-2.35,1.23,0.00448,Soluble,-1.78,4.54,0.0166,Very soluble,-2.62,0.657,0.00239,Soluble,High,No,No,No,No,No,No,No,-7.16,0,0,0,0,0,0.55,0,1,0,3.05
Molecule 23,CC[C@H]([C@@H](C(=O)Nc1ccc2c(c1)nc1n2CCCCC1)C)O,C18H25N3O2,315.41,23,9,0.56,5,3,2,92.97,67.15,2.68,3.02,2.92,2.06,2.65,2.66,-3.66,0.0694,0.00022,Soluble,-4.1,0.0253,8.03e-05,Moderately soluble,-4.16,0.022000000000000002,6.97e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.08,0,0,0,0,0,0.55,0,0,0,3.64
Molecule 24,CC[C@@H]([C@@H](C(=O)Nc1ccc2c(c1)nc1n2CCCCC1)C)O,C18H25N3O2,315.41,23,9,0.56,5,3,2,92.97,67.15,2.52,3.02,2.92,2.06,2.65,2.63,-3.66,0.0694,0.00022,Soluble,-4.1,0.0253,8.03e-05,Moderately soluble,-4.16,0.022000000000000002,6.97e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.08,0,0,0,0,0,0.55,0,0,0,3.64
Molecule 25,CC[C@H]([C@H](C(=O)Nc1ccc2c(c1)nc1n2CCCCC1)C)O,C18H25N3O2,315.41,23,9,0.56,5,3,2,92.97,67.15,2.48,3.02,2.92,2.06,2.65,2.62,-3.66,0.0694,0.00022,Soluble,-4.1,0.0253,8.03e-05,Moderately soluble,-4.16,0.022000000000000002,6.97e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.08,0,0,0,0,0,0.55,0,0,0,3.64
Molecule 26,CC[C@@H]([C@H](C(=O)Nc1ccc2c(c1)nc1n2CCCCC1)C)O,C18H25N3O2,315.41,23,9,0.56,5,3,2,92.97,67.15,2.77,3.02,2.92,2.06,2.65,2.68,-3.66,0.0694,0.00022,Soluble,-4.1,0.0253,8.03e-05,Moderately soluble,-4.16,0.022000000000000002,6.97e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.08,0,0,0,0,0,0.55,0,0,0,3.64
Molecule 27,CSc1ccccc1NC(=O)c1cnc(s1)NC1CC1,C14H15N3OS2,305.42,20,11,0.29,6,2,2,84.85,107.56,2.73,3.5,3.25,2.13,3.47,3.02,-3.95,0.0343,0.000112,Soluble,-5.44,0.0011,3.61e-06,Moderately soluble,-4.95,0.00345,1.13e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.68,0,0,0,0,0,0.55,0,0,0,2.96
Molecule 28,CCN(C(=O)C=C)CC(=O)N1CCN(CC1)c1ncnc2c1cnn2C,C17H23N7O2,357.41,26,9,0.47,7,5,0,104.51,87.46,2.62,0.4,-0.72,0.52,-0.07,0.55,-2.1,2.83,0.007909999999999999,Soluble,-1.8,5.63,0.0157,Very soluble,-2.34,1.63,0.00455,Soluble,High,No,No,No,No,No,No,No,-8.2,0,1,0,0,0,0.55,0,1,1,3.01
Molecule 29,O=C(NCc1ccnc(c1)N1CCCC1)CCCN1CCN(CC1)C(C)C,C21H35N5O,373.54,27,6,0.71,9,4,1,121.23,51.71,3.73,1.85,0.81,1.57,2.49,2.09,-2.89,0.479,0.00128,Soluble,-2.56,1.04,0.00277,Soluble,-4.64,0.0086,2.3e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-7.27,0,0,0,0,0,0.55,0,0,2,3.12
Molecule 30,NCC(C1CCN(CC1)C(=O)Nc1cnns1)(C)C,C12H21N5OS,283.39,19,5,0.75,5,4,2,80.21,112.38,2.27,0.96,1.2,0.62,1.16,1.24,-2.07,2.43,0.008579999999999999,Soluble,-2.91,0.35100000000000003,0.00124,Soluble,-2.28,1.48,0.00524,Soluble,High,No,Yes,No,No,No,No,No,-7.35,0,0,0,0,0,0.55,0,0,0,3.79
Molecule 31,O=C(N[C@H]1CNCC1(C)C)Nc1ccc(c(c1)F)C(=O)N1CCOCC1,C18H25FN4O3,364.41,26,6,0.56,6,5,3,102.68,82.7,2.73,0.71,0.89,1.46,1.6,1.48,-2.32,1.74,0.00477,Soluble,-2.02,3.44,0.00945,Soluble,-4.51,0.0113,3.11e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.02,0,0,0,0,0,0.55,0,0,1,3.32
Molecule 32,O=C(N[C@@H]1CNCC1(C)C)Nc1ccc(c(c1)F)C(=O)N1CCOCC1,C18H25FN4O3,364.41,26,6,0.56,6,5,3,102.68,82.7,2.58,0.71,0.89,1.46,1.6,1.45,-2.32,1.74,0.00477,Soluble,-2.02,3.44,0.00945,Soluble,-4.51,0.0113,3.11e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.02,0,0,0,0,0,0.55,0,0,1,3.32
Molecule 33,NCC[C@H]1[C@H](C)CCCN1C(=O)Nc1cccc(c1)C(F)(F)C,C17H25F2N3O,325.4,23,6,0.59,6,4,2,91.96,58.36,2.99,2.68,3.94,3.2,2.43,3.05,-3.34,0.14800000000000002,0.000454,Soluble,-3.56,0.0901,0.000277,Soluble,-4.47,0.0111,3.4e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.38,0,0,0,0,0,0.55,0,0,0,3.33
Molecule 34,NCC[C@@H]1[C@H](C)CCCN1C(=O)Nc1cccc(c1)C(F)(F)C,C17H25F2N3O,325.4,23,6,0.59,6,4,2,91.96,58.36,2.99,2.68,3.94,3.2,2.43,3.05,-3.34,0.14800000000000002,0.000454,Soluble,-3.56,0.0901,0.000277,Soluble,-4.47,0.0111,3.4e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.38,0,0,0,0,0,0.55,0,0,0,3.33
Molecule 35,NCC[C@@H]1[C@@H](C)CCCN1C(=O)Nc1cccc(c1)C(F)(F)C,C17H25F2N3O,325.4,23,6,0.59,6,4,2,91.96,58.36,3.07,2.68,3.94,3.2,2.43,3.07,-3.34,0.14800000000000002,0.000454,Soluble,-3.56,0.0901,0.000277,Soluble,-4.47,0.0111,3.4e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.38,0,0,0,0,0,0.55,0,0,0,3.33
Molecule 36,NCC[C@H]1[C@@H](C)CCCN1C(=O)Nc1cccc(c1)C(F)(F)C,C17H25F2N3O,325.4,23,6,0.59,6,4,2,91.96,58.36,2.96,2.68,3.94,3.2,2.43,3.04,-3.34,0.14800000000000002,0.000454,Soluble,-3.56,0.0901,0.000277,Soluble,-4.47,0.0111,3.4e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.38,0,0,0,0,0,0.55,0,0,0,3.33
Molecule 37,COC[C@H]1CNCCN1C(=O)Nc1ccccc1CN1CCN(CC1)C(=O)C,C20H31N5O3,389.49,28,6,0.6,8,5,2,123.19,77.15,3.14,-0.52,-1.06,0.48,0.53,0.51,-1.56,10.8,0.0277,Very soluble,-0.63,90.9,0.233,Very soluble,-3.65,0.0872,0.000224,Soluble,High,No,Yes,No,No,No,No,No,-9.05,0,1,0,0,0,0.55,0,0,2,3.62
Molecule 38,COC[C@@H]1CNCCN1C(=O)Nc1ccccc1CN1CCN(CC1)C(=O)C,C20H31N5O3,389.49,28,6,0.6,8,5,2,123.19,77.15,2.8,-0.52,-1.06,0.48,0.53,0.45,-1.56,10.8,0.0277,Very soluble,-0.63,90.9,0.233,Very soluble,-3.65,0.0872,0.000224,Soluble,High,No,Yes,No,No,No,No,No,-9.05,0,1,0,0,0,0.55,0,0,2,3.62
Molecule 39,COCC[C@H]1CNCCN1C(=O)Nc1ccc2c(c1)CCN2C(=O)COC,C19H28N4O4,376.45,27,6,0.58,9,5,2,113.38,83.14,2.84,0.01,-0.27,0.52,1.02,0.83,-1.75,6.68,0.0178,Very soluble,-1.31,18.5,0.0493,Very soluble,-3.91,0.0461,0.000122,Soluble,High,No,Yes,No,No,No,No,No,-8.59,0,0,0,0,0,0.55,0,0,2,3.6
Molecule 40,COCC[C@@H]1CNCCN1C(=O)Nc1ccc2c(c1)CCN2C(=O)COC,C19H28N4O4,376.45,27,6,0.58,9,5,2,113.38,83.14,2.67,0.01,-0.27,0.52,1.02,0.79,-1.75,6.68,0.0178,Very soluble,-1.31,18.5,0.0493,Very soluble,-3.91,0.0461,0.000122,Soluble,High,No,Yes,No,No,No,No,No,-8.59,0,0,0,0,0,0.55,0,0,2,3.6
Molecule 41,NC[C@]12CC[C@H]1CCCN2C(=O)Nc1cccc(c1)N1CCN(CC1)C(=O)C,C21H31N5O2,385.5,28,6,0.62,6,3,2,121.39,81.91,3.0,0.68,0.76,1.76,0.78,1.39,-2.42,1.46,0.00379,Soluble,-1.98,4.07,0.0105,Very soluble,-3.53,0.114,0.000296,Soluble,High,No,Yes,No,No,No,Yes,No,-8.17,0,0,0,0,0,0.55,0,0,1,3.99
Molecule 42,CCSCc1ccccc1C(=O)N1CC[C@@H](C1)c1n[nH]cc1N,C17H22N4OS,330.45,23,11,0.41,6,2,2,98.96,100.31,1.87,1.72,2.35,1.92,2.9,2.15,-2.93,0.388,0.00117,Soluble,-3.44,0.119,0.000361,Soluble,-4.84,0.00481,1.46e-05,Moderately soluble,High,No,Yes,No,Yes,No,Yes,Yes,-7.09,0,0,0,0,0,0.55,0,0,0,3.19
Molecule 43,C[C@@H](NC(=O)c1cccc2c1nccc2)CNCCOC1CCC1,C19H25N3O2,327.42,24,10,0.47,9,4,2,94.97,63.25,2.49,2.23,2.51,1.58,3.18,2.4,-2.99,0.336,0.00103,Soluble,-3.19,0.21,0.00064,Soluble,-6.0,0.00033,1.01e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.71,0,0,0,0,0,0.55,0,0,1,2.88
Molecule 44,CCc1n(C)ncc1C(=O)N[C@@H](CNCc1cccc(n1)Cl)C,C16H22ClN5O,335.83,23,11,0.44,8,4,2,90.77,71.84,3.45,1.77,1.79,1.11,2.55,2.13,-2.86,0.46,0.00137,Soluble,-2.9,0.426,0.00127,Soluble,-5.62,0.000811,2.42e-06,Moderately soluble,High,Yes,Yes,No,Yes,No,No,No,-7.09,0,0,0,0,0,0.55,0,1,1,3.16
Molecule 45,C[C@@H](NC(=O)c1ccc2c(c1)nnn2C)CNCCC1=CCCCC1,C19H27N5O,341.45,25,9,0.53,8,4,2,100.07,71.84,3.21,2.44,2.57,2.62,2.54,2.68,-3.23,0.2,0.000585,Soluble,-3.59,0.0874,0.000256,Soluble,-5.19,0.00222,6.5000000000000004e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.65,0,0,0,0,0,0.55,0,1,1,3.51
Molecule 46,C[C@@H](NC(=O)c1cncn1C)CNCCc1ccnn1C,C14H22N6O,290.36,21,10,0.5,8,4,2,80.05,76.77,2.38,-0.07,0.1,-0.26,0.36,0.5,-1.42,11.0,0.038,Very soluble,-1.09,23.6,0.0811,Very soluble,-3.41,0.113,0.000389,Soluble,High,No,Yes,No,No,No,No,No,-8.12,0,0,0,0,0,0.55,0,0,1,3.1
Molecule 47,C[C@@H](NC(=O)[C@@H]1CCCC21CC2)CNCCNC(=O)NC(C)C,C17H32N4O2,324.46,23,0,0.88,11,3,4,91.34,82.26,2.99,1.64,1.31,1.38,1.71,1.81,-2.16,2.25,0.006940000000000001,Soluble,-2.98,0.339,0.00105,Soluble,-4.13,0.024,7.4e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.11,0,0,1,0,0,0.55,0,0,1,4.07
Molecule 48,C[C@@H](NC(=O)[C@H]1CCCC21CC2)CNCCNC(=O)NC(C)C,C17H32N4O2,324.46,23,0,0.88,11,3,4,91.34,82.26,2.57,1.64,1.31,1.38,1.71,1.72,-2.16,2.25,0.006940000000000001,Soluble,-2.98,0.339,0.00105,Soluble,-4.13,0.024,7.4e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.11,0,0,1,0,0,0.55,0,0,1,4.07
Molecule 49,OCCNC[C@H](NC(=O)c1cc2c(s1)cccc2)C,C14H18N2O2S,278.37,19,9,0.36,7,3,3,78.01,89.6,2.7,1.87,1.6,1.23,3.06,2.09,-2.63,0.649,0.00233,Soluble,-3.37,0.118,0.000423,Soluble,-4.47,0.0095,3.41e-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.67,0,0,0,0,0,0.55,0,0,0,2.72
Molecule 50,C[C@@H](NC(=O)c1cnc2c(c1)cn[nH]2)CNCCC[C@H]1COCC1,C17H25N5O2,331.41,24,9,0.59,9,5,3,91.92,91.93,2.33,1.05,1.48,1.02,2.59,1.7,-2.24,1.91,0.00576,Soluble,-2.57,0.889,0.00268,Soluble,-5.24,0.00192,5.79e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.58,0,0,0,0,0,0.55,0,0,1,3.29
Molecule 51,O=C(c1cn(c(=O)n1C)C)NCc1ccnc(c1)N1CCCC1,C16H21N5O2,315.37,23,11,0.44,5,3,1,91.14,72.16,3.16,0.37,0.12,0.8,0.79,1.05,-2.05,2.8,0.008870000000000001,Soluble,-1.45,11.2,0.0354,Very soluble,-3.24,0.18,0.000571,Soluble,High,No,Yes,No,No,No,No,No,-7.96,0,0,0,0,0,0.55,0,0,0,2.79
Molecule 52,NC(=O)[C@H]1C[C@H]1C(=O)N1[C@H](C)Cc2c1cccc2,C14H16N2O2,244.29,18,6,0.43,3,2,1,71.46,63.4,1.76,0.73,0.7,1.45,1.23,1.17,-1.86,3.35,0.0137,Very soluble,-1.64,5.59,0.0229,Very soluble,-2.35,1.08,0.00442,Soluble,High,No,No,No,No,No,No,No,-7.27,0,0,0,0,0,0.55,0,0,1,2.89
Molecule 53,NC(=O)[C@H]1C[C@H]1C(=O)N1[C@@H](C)Cc2c1cccc2,C14H16N2O2,244.29,18,6,0.43,3,2,1,71.46,63.4,1.62,0.73,0.7,1.45,1.23,1.15,-1.86,3.35,0.0137,Very soluble,-1.64,5.59,0.0229,Very soluble,-2.35,1.08,0.00442,Soluble,High,No,No,No,No,No,No,No,-7.27,0,0,0,0,0,0.55,0,0,1,2.89
Molecule 54,O=C(NCC(C(=O)N1CCCC1)(C)C)COC1CCOCC1,C16H28N2O4,312.4,22,0,0.88,8,4,1,86.72,67.87,2.74,0.68,0.57,0.32,1.82,1.23,-1.68,6.57,0.021,Very soluble,-1.68,6.5,0.0208,Very soluble,-2.53,0.924,0.00296,Soluble,High,No,Yes,No,No,No,No,No,-7.72,0,0,0,0,0,0.55,0,0,1,2.76
Molecule 55,C[C@@H]1Cc2c(N1C(=O)c1nnc(o1)C1CC1)cccc2,C15H15N3O2,269.3,20,11,0.4,3,4,0,76.47,59.23,2.83,2.15,2.09,2.24,2.36,2.34,-3.07,0.228,0.0008449999999999999,Soluble,-3.03,0.254,0.000942,Soluble,-3.98,0.0285,0.000106,Soluble,High,Yes,Yes,No,Yes,No,No,No,-6.42,0,0,0,0,0,0.55,0,0,0,3.13
Molecule 56,C[C@H]1Cc2c(N1C(=O)c1nnc(o1)C1CC1)cccc2,C15H15N3O2,269.3,20,11,0.4,3,4,0,76.47,59.23,2.77,2.15,2.09,2.24,2.36,2.32,-3.07,0.228,0.0008449999999999999,Soluble,-3.03,0.254,0.000942,Soluble,-3.98,0.0285,0.000106,Soluble,High,Yes,Yes,No,Yes,No,No,No,-6.42,0,0,0,0,0,0.55,0,0,0,3.13
Molecule 57,CCCNC(=O)CCCC(=O)NCC(C(=O)N1CCCC1)(C)C,C17H31N3O3,325.45,23,0,0.82,12,3,2,94.47,78.51,3.06,0.82,1.07,0.87,2.4,1.64,-1.58,8.51,0.0262,Very soluble,-2.05,2.9,0.0089,Soluble,-3.89,0.0419,0.000129,Soluble,High,No,Yes,No,No,No,No,No,-7.7,0,0,1,0,0,0.55,0,0,1,2.55
Molecule 58,CN1CCN(CC1)CC(=O)NCC(C(=O)N1CCCC1)(C)C,C16H30N4O2,310.44,22,0,0.88,7,4,1,98.17,55.89,2.83,0.27,-1.14,0.32,0.79,0.61,-1.47,10.5,0.0337,Very soluble,-1.01,30.7,0.0988,Very soluble,-2.06,2.7,0.00869,Soluble,High,No,Yes,No,No,No,No,No,-8.0,0,1,0,0,0,0.55,0,0,0,2.64
