Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 35,COC(=O)C1=C(C)NC(=C([C@H]1c1cccc2c1non2)C(=O)OC(C)C)C,C19H21N3O5,371.39,27,9,0.37,6,7,1,100.68,103.55,3.52,4.28,2.2,1.83,2.6,2.89,-4.69,0.00759,2.0399999999999998e-05,Moderately soluble,-6.17,0.00025299999999999997,6.809999999999999e-07,Poorly soluble,-5.0,0.00371,1e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.53,0,0,0,0,0,0.55,0,1,2,4.17
Molecule 36,O=C(c1cccc2c1oc(c1ccccc1)c(c2=O)C)OCCN1CCCCC1,C24H25NO4,391.46,29,16,0.33,6,5,0,117.7,59.75,3.98,4.29,4.03,2.78,5.25,4.07,-4.98,0.004079999999999999,1.04e-05,Moderately soluble,-5.26,0.00216,5.52e-06,Moderately soluble,-7.67,8.43e-06,2.15e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.64,0,0,0,0,0,0.55,0,0,2,3.72
Molecule 37,O=C1CN(C(=O)N1)/N=C/c1ccc(o1)c1ccc(cc1)[N+](=O)[O-],C14H10N4O5,314.25,23,11,0.07,4,6,1,88.24,120.73,1.06,1.7,0.98,0.0,-0.15,0.72,-2.95,0.353,0.00112,Soluble,-3.85,0.0443,0.00014099999999999998,Soluble,-3.58,0.0827,0.000263,Soluble,High,No,No,No,No,No,No,No,-7.01,0,0,0,0,0,0.55,0,4,0,3.27
Molecule 38,OC(=O)Cc1cccc(c1N)C(=O)c1ccc(cc1)Br,C15H12BrNO3,334.16,20,12,0.07,4,3,2,79.97,80.39,1.91,3.29,2.9,2.5,3.12,2.74,-4.16,0.0229,6.850000000000001e-05,Moderately soluble,-4.65,0.00742,2.22e-05,Moderately soluble,-5.11,0.00262,7.83e-06,Moderately soluble,High,No,No,Yes,No,Yes,No,Yes,-6.0,0,0,0,0,0,0.56,1,1,0,2.27
Molecule 39,O=CNc1cc(ccc1O)[C@H](CN[C@@H](Cc1ccc(cc1)OC)C)O,C19H24N2O4,344.4,25,12,0.32,9,5,4,97.5,90.82,2.35,1.84,1.71,1.79,2.63,2.06,-2.9,0.43799999999999994,0.0012699999999999999,Soluble,-3.37,0.14800000000000002,0.000429,Soluble,-5.2,0.00216,6.28e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.09,0,0,0,0,0,0.55,0,2,1,3.08
Molecule 40,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],C12H9N3O5S,307.28,21,11,0.08,6,6,1,76.65,142.35,0.9,2.04,2.04,0.31,0.49,1.16,-3.02,0.292,0.000951,Soluble,-4.66,0.0067599999999999995,2.2e-05,Moderately soluble,-3.25,0.171,0.000557,Soluble,Low,No,No,No,Yes,No,No,No,-6.73,0,0,1,1,0,0.55,0,3,0,2.83
Molecule 41,ON=C1CC[C@H]2C(=C1)CC[C@@H]1[C@H]2CC[C@]2([C@@H]1CC[C@@]2(O)C#C)CC,C21H29NO2,327.46,24,0,0.76,1,3,2,97.65,52.82,3.26,3.58,4.22,3.88,3.85,3.76,-4.06,0.0285,8.72e-05,Moderately soluble,-4.38,0.0138,4.210000000000001e-05,Moderately soluble,-3.13,0.24100000000000002,0.000735,Soluble,High,Yes,Yes,No,No,Yes,No,No,-5.76,0,0,0,0,0,0.55,0,4,1,5.73
Molecule 42,O=C(C1CCC(CC1)(F)F)N[C@H](c1ccccc1)CCN1[C@@H]2CC[C@H]1C[C@@H](C2)n1c(C)nnc1C(C)C,C29H41F2N5O,513.67,37,11,0.69,9,6,1,145.84,63.05,3.99,5.15,6.09,4.15,4.78,4.83,-5.9,0.000654,1.27e-06,Moderately soluble,-6.22,0.00031,6.03e-07,Poorly soluble,-7.0,5.18e-05,1.0099999999999999e-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-5.78,2,4,0,1,1,0.17,0,0,3,5.66
Molecule 43,CNCc1ccc(cc1)c1[nH]c2c3c1CCNC(=O)c3cc(c2)F,C19H18FN3O,323.36,24,15,0.21,3,3,3,96.03,56.92,2.48,2.49,2.87,2.6,4.65,3.02,-3.68,0.0679,0.00021,Soluble,-3.33,0.151,0.00046699999999999997,Soluble,-7.67,6.9e-06,2.13e-08,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.5,0,0,0,0,0,0.55,0,0,0,2.81
Molecule 44,O[C@H]([C@H]1CCc2c(O1)ccc(c2)F)CNC[C@H]([C@H]1CCc2c(O1)ccc(c2)F)O,C22H25F2NO4,405.44,29,12,0.45,6,7,3,103.34,70.95,3.86,4.04,3.2,2.64,4.14,3.58,-4.81,0.00629,1.55e-05,Moderately soluble,-5.23,0.00237,5.84e-06,Moderately soluble,-5.88,0.000537,1.32e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-5.9,0,0,0,0,0,0.55,0,0,2,4.24
Molecule 45,CN/C(=C/[N+](=O)[O-])/NCCSCc1csc(n1)CN(C)C,C12H21N5O2S2,331.46,21,5,0.58,10,4,2,89.42,139.55,2.6,1.59,1.02,-0.87,0.27,0.92,-2.41,1.28,0.00386,Soluble,-4.13,0.0245,7.38e-05,Moderately soluble,-3.07,0.28300000000000003,0.0008550000000000001,Soluble,High,No,Yes,No,No,No,No,No,-7.19,0,0,0,1,0,0.55,0,2,1,3.68
Molecule 46,C[C@@H](Cc1ccc(cc1)O)N,C9H13NO,151.21,11,6,0.33,2,2,2,45.75,46.25,1.68,1.44,1.28,1.53,1.45,1.48,-1.96,1.67,0.0111,Very soluble,-2.02,1.45,0.00962,Soluble,-2.29,0.7829999999999999,0.00518,Soluble,High,Yes,No,No,No,No,No,No,-6.2,0,1,0,0,1,0.55,0,0,1,1.33
Molecule 47,CNC(=O)c1ccccc1Sc1ccc2c(c1)[nH]nc2/C=C/c1ccccn1,C22H18N4OS,386.47,28,21,0.05,6,3,2,112.82,95.97,2.62,4.17,4.42,3.12,4.8,3.82,-5.02,0.00367,9.5e-06,Moderately soluble,-5.89,0.0004940000000000001,1.28e-06,Moderately soluble,-8.09,3.11e-06,8.050000000000001e-09,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.7,0,0,0,0,0,0.55,0,0,2,3.11
Molecule 48,C[C@H](C(=O)NCC(=O)O)S,C5H9NO3S,163.19,10,0,0.6,4,3,2,38.85,105.2,0.72,-0.14,-0.49,-0.54,-0.36,-0.16,-0.5,51.7,0.317,Very soluble,-1.62,3.96,0.0243,Very soluble,-0.2,104.0,0.637,Soluble,High,No,No,No,No,No,No,No,-7.39,0,3,0,0,1,0.56,0,1,1,1.85
Molecule 49,OCc1cc(ccc1O)[C@H](CNCCCCCCOCCOCc1c(Cl)cccc1Cl)O,C24H33Cl2NO5,486.43,32,12,0.5,16,6,4,128.27,91.18,4.73,3.83,3.98,2.57,6.04,4.23,-4.49,0.0157,3.229999999999999e-05,Moderately soluble,-5.44,0.00176,3.63e-06,Moderately soluble,-8.29,2.48e-06,5.11e-09,Poorly soluble,High,No,Yes,No,Yes,No,No,Yes,-6.55,0,1,1,0,1,0.55,0,0,3,3.94
Molecule 50,OC[C@H]1O[C@H]([C@H]([C@@H]1O)O)n1cnc2c1nc(F)nc2N,C10H12FN5O4,285.23,20,9,0.5,2,8,4,62.63,139.54,1.03,-0.8,-1.74,-1.49,-1.94,-0.99,-1.31,14.1,0.0495,Very soluble,-1.65,6.37,0.0223,Very soluble,0.14,389.0,1.36,Soluble,Low,No,No,No,No,No,No,No,-8.61,0,1,0,1,0,0.55,0,0,0,4.0
Molecule 51,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1[nH]cc(n1)c1ccc2c(c1)O[C@H](n1c2cc2c1ccc(c2)c1c[nH]c(n1)[C@@H]1CCCN1C(=O)[C@H](C(C)C)NC(=O)OC)c1ccccc1)C(C)C,C49H55N9O7,882.02,65,31,0.39,17,9,4,252.67,188.8,5.34,6.67,6.38,2.11,5.83,5.27,-8.74,1.6e-06,1.8100000000000002e-09,Poorly soluble,-10.44,3.2200000000000004e-08,3.65e-11,Insoluble,-11.57,2.35e-09,2.66e-12,Insoluble,Low,No,Yes,No,Yes,No,No,Yes,-6.94,2,4,2,2,5,0.17,0,1,3,7.52
Molecule 52,CN[C@@H](Cc1ccccc1)C,C10H15N,149.23,11,6,0.4,3,1,1,48.63,12.03,2.53,2.07,1.84,2.49,2.35,2.26,-2.27,0.792,0.0053100000000000005,Soluble,-1.95,1.67,0.0112,Very soluble,-3.66,0.0329,0.00022,Soluble,High,Yes,No,Yes,No,No,Yes,No,-5.74,0,1,0,0,2,0.55,0,0,1,1.31
Molecule 53,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C[C@H](C(=O)[C@@H]([C@@H]2[C@]1(C)OC(=O)N2CCCCn1cnc(c1)c1cccnc1)C)C)(C)OC,C43H65N5O10,812.0,58,11,0.72,11,13,1,221.37,171.85,5.24,4.16,4.55,0.16,3.04,3.43,-6.91,0.0001,1.23e-07,Poorly soluble,-7.48,2.71e-05,3.34e-08,Poorly soluble,-7.3,4.1e-05,5.0499999999999996e-08,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.3,2,3,2,1,3,0.17,0,2,3,8.76
Molecule 54,CCCCCCCCCC[N+](CCCCCCCCCC)(C)C,C22H48N,326.62,23,0,1.0,18,0,0,110.24,0.0,2.34,3.48,7.34,2.15,7.36,4.54,-2.87,0.441,0.00135,Soluble,-3.16,0.225,0.000688,Soluble,-8.74,5.88e-07,1.8e-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-5.82,0,2,1,1,2,0.55,0,1,1,2.77
