Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 11,CCOC(=O)/C=C/1\S[C@@H](C(=O)N1C)N1CCCCC1,C13H20N2O3S,284.37,19,0,0.69,4,4,0,82.6,75.15,2.97,1.62,0.65,0.67,1.3,1.44,-2.36,1.24,0.004370000000000001,Soluble,-2.81,0.44,0.00155,Soluble,-1.43,10.5,0.0368,Soluble,High,No,No,No,No,No,No,No,-6.88,0,0,0,0,0,0.55,0,1,0,3.96
Molecule 12,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@@H]2C[C@H](NC(=O)C(F)(F)F)[C@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,C34H36F3NO13,723.64,51,12,0.5,13,16,5,166.92,215.22,3.85,3.6,3.4,-0.92,4.0,2.78,-5.91,0.000889,1.23e-06,Moderately soluble,-7.81,1.13e-05,1.56e-08,Poorly soluble,-6.33,0.000342,4.7299999999999996e-07,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.16,2,3,2,1,3,0.17,1,1,3,6.48
Molecule 13,CO[C@@]1(NC(=O)C2SC(=C(C(=O)O)C(=O)N)S2)C(=O)N2[C@H]1SCC(=C2C(=O)O)CSc1nnnn1C,C17H17N7O8S4,575.62,36,5,0.41,10,11,4,131.17,321.13,0.15,0.09,-1.78,-0.62,-2.2,-0.87,-2.91,0.711,0.00124,Soluble,-6.39,0.00023500000000000002,4.0899999999999997e-07,Poorly soluble,-0.06,501.0,0.871,Soluble,Low,No,Yes,No,No,No,No,No,-9.75,2,3,1,1,2,0.11,0,4,2,5.42
Molecule 14,CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,C21H24O2,308.41,23,0,0.57,1,2,1,92.48,37.3,3.1,2.16,3.8,3.77,4.14,3.4,-3.05,0.27699999999999997,0.000897,Soluble,-2.58,0.8190000000000001,0.00266,Soluble,-3.54,0.0894,0.00029,Soluble,High,Yes,Yes,No,Yes,Yes,No,Yes,-6.65,0,0,0,0,0,0.55,0,1,0,5.26
Molecule 15,C=CCNc1nc(nc(n1)NCC=C)N1CCN(CC1)C(c1ccc(cc1)F)c1ccc(cc1)F,C26H29F2N7,477.55,35,18,0.27,10,6,2,141.87,69.21,4.86,5.55,3.63,3.77,4.32,4.42,-6.02,0.000458,9.6e-07,Poorly soluble,-6.76,8.23e-05,1.72e-07,Poorly soluble,-8.36,2.11e-06,4.42e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.27,0,1,0,0,1,0.55,0,1,3,3.87
Molecule 16,[O-][N+](=O)c1ccc(c(c1)Oc1ccccc1)NS(=O)(=O)C,C13H12N2O5S,308.31,21,12,0.08,5,5,1,80.05,109.6,1.92,2.6,3.65,0.91,-0.62,1.69,-3.48,0.102,0.00032900000000000003,Soluble,-4.55,0.00867,2.8100000000000002e-05,Moderately soluble,-4.38,0.0127,4.13e-05,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.33,0,0,0,0,0,0.55,0,2,0,3.08
Molecule 17,O/N=C\1/CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@@H]1CC[C@@]2(O)C#C)CC,C21H29NO2,327.46,24,0,0.76,1,3,2,97.65,52.82,3.32,3.58,4.22,3.88,3.85,3.77,-4.06,0.0285,8.72e-05,Moderately soluble,-4.38,0.0138,4.2100000000000014e-05,Moderately soluble,-3.13,0.24100000000000002,0.000735,Soluble,High,Yes,Yes,No,No,Yes,No,No,-5.76,0,0,0,0,0,0.55,0,4,1,5.73
Molecule 18,CC1=C(C(=O)OCCN(c2ccccc2)Cc2ccccc2)[C@H](C(=C(N1)C)P1(=O)OCC(CO1)(C)C)c1cccc(c1)[N+](=O)[O-],C34H38N3O7P,631.66,45,18,0.32,11,7,1,179.14,132.73,3.84,5.91,6.77,3.03,3.35,4.58,-7.05,5.6399999999999995e-05,8.92e-08,Poorly soluble,-8.47,2.13e-06,3.379999999999999e-09,Poorly soluble,-9.72,1.2e-07,1.9e-10,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,Yes,-5.96,1,4,1,2,2,0.55,0,3,3,5.84
Molecule 19,CN[C@@H]([C@@H]1CC[C@@H]([C@@H](O1)O[C@@H]1[C@H](N)C[C@@H]([C@@H]([C@@H]1O)O[C@H]1OC[C@]([C@H]([C@H]1O)NC)(C)O)N)N)C,C21H43N5O7,477.6,33,0,1.0,7,12,8,118.31,199.73,1.83,-4.1,-3.33,-2.92,-3.56,-2.42,0.24,837.0,1.75,Highly soluble,0.51,1540.0,3.23,Highly soluble,0.52,1560.0,3.27,Soluble,Low,No,Yes,No,No,No,No,No,-12.12,2,2,1,1,4,0.17,0,0,1,6.51
Molecule 20,C1CC[C@@H](NC1)c1cccnc1,C10H14N2,162.23,12,6,0.5,1,2,1,53.03,24.92,1.93,0.97,1.19,1.17,2.26,1.5,-1.76,2.81,0.0173,Very soluble,-1.08,13.5,0.083,Very soluble,-3.22,0.0971,0.000598,Soluble,High,Yes,No,No,No,No,No,No,-6.6,0,0,0,0,1,0.55,0,0,1,2.07
Molecule 21,OC(=O)C#Cc1ccccc1,C9H6O2,146.14,11,6,0.0,0,2,1,40.96,37.3,1.3,2.04,1.2,1.9,1.55,1.6,-2.43,0.537,0.00367,Soluble,-2.45,0.517,0.0035399999999999997,Soluble,-1.83,2.15,0.0147,Soluble,High,Yes,No,No,No,No,No,No,-5.74,0,2,0,0,1,0.56,0,1,1,2.32
Molecule 22,OC(=O)c1cccc(c1N)C,C8H9NO2,151.16,11,6,0.12,1,2,2,42.77,63.32,0.86,2.53,1.28,0.21,0.95,1.17,-2.71,0.29600000000000004,0.00196,Soluble,-3.51,0.0471,0.000312,Soluble,-1.78,2.5,0.0166,Soluble,High,Yes,No,No,No,No,No,No,-5.43,0,1,0,0,1,0.56,0,1,1,1.0
Molecule 23,c1ncc[nH]1,C3H4N2,68.08,5,5,0.0,0,1,1,18.59,28.68,0.0,0.06,0.41,-0.92,1.36,0.18,-1.04,6.21,0.0912,Very soluble,-0.22,41.4,0.608,Very soluble,-1.08,5.61,0.0824,Soluble,High,No,No,No,No,No,No,No,-6.67,0,3,0,0,2,0.55,0,0,1,1.0
Molecule 24,OC(=O)C[C@H]([C@@](C(=O)O)(O)C)C(=O)O,C7H10O7,206.15,14,0,0.57,5,7,4,42.28,132.13,-0.21,-1.61,-1.0,-1.13,-1.41,-1.07,0.23,347.0,1.68,Highly soluble,-0.66,45.6,0.221,Very soluble,1.68,9820.0,47.6,Soluble,High,No,No,No,No,No,No,No,-8.7,0,1,0,1,0,0.56,0,0,1,2.99
Molecule 25,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc(c1N)C(=O)N,C9H14N4O5,258.23,18,5,0.56,3,6,5,57.67,156.85,-0.8,-2.18,-3.14,-3.16,-3.12,-2.48,-0.08,217.0,0.841,Very soluble,-0.58,67.5,0.261,Very soluble,1.75,14400.0,55.8,Soluble,Low,No,No,No,No,No,No,No,-9.42,0,1,1,1,2,0.55,0,0,0,3.93
Molecule 26,OCc1cc(O)c2c(c1)[C@@H](O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)c1c(C2=O)c(O)ccc1,C21H22O10,434.39,31,12,0.38,4,10,7,103.05,177.14,1.62,-0.4,-1.44,-1.96,-0.28,-0.49,-2.3,2.16,0.0049700000000000005,Soluble,-2.86,0.605,0.00139,Soluble,-1.52,13.2,0.0305,Soluble,Low,No,No,No,No,No,No,No,-9.23,1,1,1,1,2,0.55,0,0,1,5.2
Molecule 27,C[C@H]1CC[C@@H]2[C@]3([C@]1(C)Cc1c(O)cc4c(c1O3)CNC4=O)CC[C@@H](C2(C)C)O,C23H31NO4,385.5,28,6,0.7,0,4,3,111.71,78.79,2.71,3.74,3.01,2.94,3.79,3.24,-4.74,0.006940000000000001,1.8e-05,Moderately soluble,-5.09,0.00316,8.19e-06,Moderately soluble,-5.29,0.002,5.19e-06,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.0,0,0,0,0,0,0.55,0,0,2,5.11
Molecule 28,CO[C@H]1CN(CCCOc2ccc(cc2)F)CC[C@H]1NC(=O)c1cc(Cl)c(cc1OC)N,C23H29ClFN3O4,465.95,32,12,0.43,10,6,2,125.55,86.05,3.81,3.4,3.41,2.2,3.53,3.27,-4.49,0.0151,3.2500000000000004e-05,Moderately soluble,-4.89,0.00605,1.3000000000000001e-05,Moderately soluble,-6.78,7.659999999999999e-05,1.6399999999999999e-07,Poorly soluble,High,No,Yes,No,Yes,No,Yes,Yes,-6.73,0,0,0,0,0,0.55,0,1,2,3.92
Molecule 29,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](c1ccnc2c1cc(OC)cc2)O,C20H24N2O2,324.42,24,10,0.45,4,4,1,99.73,45.59,3.3,2.88,2.47,2.23,3.11,2.8,-3.71,0.0632,0.000195,Soluble,-3.5,0.10300000000000001,0.00031800000000000003,Soluble,-4.31,0.016,4.92e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.23,0,0,0,0,0,0.55,0,1,0,4.34
Molecule 30,COc1c(ccc(c1OC)OC)CN1CCN(CC1)C(c1ccc(cc1)F)c1ccc(cc1)F,C27H30F2N2O3,468.54,34,18,0.33,8,7,0,135.32,34.17,4.85,4.87,4.5,3.69,5.56,4.69,-5.68,0.000986,2.1e-06,Moderately soluble,-5.32,0.00223,4.76e-06,Moderately soluble,-8.46,1.61e-06,3.4399999999999997e-09,Poorly soluble,High,Yes,Yes,No,No,No,Yes,Yes,-5.7,0,1,0,0,0,0.55,0,0,3,3.7
Molecule 31,CCO[C@H](c1ccccc1)CN1CCN(CC1)C[C@@H](C(=O)c1ccccc1)C,C24H32N2O2,380.52,28,12,0.46,9,4,0,121.79,32.78,4.12,3.71,2.81,2.52,4.34,3.5,-4.26,0.0209,5.5e-05,Moderately soluble,-4.09,0.031,8.14e-05,Moderately soluble,-6.41,0.000148,3.9e-07,Poorly soluble,High,Yes,No,No,No,No,Yes,Yes,-5.99,0,0,0,0,0,0.55,0,0,3,3.54
Molecule 32,CCN(CCN[C@H](c1ccccc1)C(=O)OCCC(C)C)CC,C19H32N2O2,320.47,23,6,0.63,12,4,1,96.07,41.57,4.29,3.87,2.92,2.88,3.65,3.52,-3.67,0.0691,0.00021600000000000002,Soluble,-4.44,0.0116,3.63e-05,Moderately soluble,-5.53,0.00095,2.96e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.51,0,0,1,0,0,0.55,0,0,2,3.27
Molecule 33,CCC(=O)c1c(O)cc(cc1O)O,C9H10O4,182.17,13,6,0.22,2,4,3,47.51,77.76,0.73,1.56,1.4,0.24,1.06,1.0,-2.16,1.26,0.00689,Soluble,-2.8,0.287,0.00157,Soluble,-1.41,7.04,0.0386,Soluble,High,No,No,No,No,No,No,Yes,-6.3,0,0,0,0,1,0.55,0,0,1,1.3
Molecule 34,C[C@@H](CC(O)(C)C)O,C6H14O2,118.17,8,0,1.0,2,2,2,33.32,40.46,1.77,0.27,0.53,0.61,0.28,0.69,-0.61,29.0,0.245,Very soluble,-0.68,24.6,0.20800000000000002,Very soluble,-0.34,53.8,0.455,Soluble,High,Yes,No,No,No,No,No,No,-6.83,0,2,0,0,1,0.55,0,0,1,1.55
Molecule 35,OC(=O)C(Oc1ccc(cc1)[C@@H]1CC1(Cl)Cl)(C)C,C13H14Cl2O3,289.15,18,6,0.46,4,3,1,71.26,46.53,2.38,3.42,3.59,2.65,3.38,3.08,-3.77,0.0491,0.00016999999999999999,Soluble,-4.08,0.0242,8.37e-05,Moderately soluble,-4.15,0.0205,7.099999999999999e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.64,0,0,0,0,0,0.56,0,1,0,2.41
Molecule 36,CSc1ccc2c(c1)[C@@H](Cc1c(S2)cccc1)N1CCN(CC1)C,C20H24N2S2,356.55,24,12,0.4,2,2,0,112.09,57.08,3.85,4.22,3.32,4.27,4.04,3.94,-4.95,0.00403,1.13e-05,Moderately soluble,-5.13,0.00265,7.43e-06,Moderately soluble,-5.97,0.000384,1.08e-06,Moderately soluble,High,Yes,Yes,No,No,Yes,Yes,Yes,-5.48,1,0,0,0,0,0.55,1,0,2,3.77
Molecule 37,CC(Nc1ncccn1)C,C7H11N3,137.18,10,6,0.43,2,2,1,40.95,37.81,1.77,1.32,1.11,0.42,0.98,1.12,-1.83,2.01,0.0147,Very soluble,-1.71,2.64,0.0193,Very soluble,-2.5,0.4370000000000001,0.00318,Soluble,High,Yes,No,No,No,No,No,No,-6.2,0,1,0,0,1,0.55,0,0,1,1.43
Molecule 38,C[C@@H]1CCC[C@H](N1NC(=O)c1ccc(c(c1)S(=O)(=O)N)Cl)C,C14H20ClN3O3S,345.84,22,6,0.5,4,5,2,88.98,100.88,1.67,2.33,2.6,1.74,0.52,1.77,-3.39,0.141,0.000407,Soluble,-4.09,0.0283,8.170000000000001e-05,Moderately soluble,-3.58,0.0908,0.000262,Soluble,High,No,No,No,No,No,No,No,-6.76,0,0,0,0,0,0.55,0,0,0,3.32
Molecule 39,COc1cc2c(cc1c1coc(c1)CN1CCN(CC1)C)ncc(c2Nc1cc(OC)c(cc1Cl)Cl)C#N,C28H27Cl2N5O3,552.45,38,21,0.29,7,7,1,157.22,86.79,4.79,5.57,5.27,2.0,5.46,4.62,-6.72,0.000105,1.9e-07,Poorly soluble,-7.15,3.8799999999999994e-05,7.019999999999999e-08,Poorly soluble,-9.91,6.84e-08,1.2399999999999999e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,No,No,-5.72,1,2,0,0,1,0.55,0,0,2,4.08
Molecule 40,COC(=O)C1=C(C)NC(=C([C@H]1c1ccccc1[N+](=O)[O-])C(=O)OCC(=O)C)C,C19H20N2O7,388.37,28,6,0.32,8,7,1,104.34,127.52,2.51,1.95,1.75,0.45,0.88,1.51,-3.11,0.304,0.000782,Soluble,-4.25,0.0217,5.59e-05,Moderately soluble,-4.14,0.0281,7.240000000000001e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,No,-7.28,0,0,0,0,0,0.55,0,3,2,4.06
Molecule 41,OCc1cc2CC[C@H](Nc2cc1[N+](=O)[O-])CNC(C)C,C14H21N3O3,279.33,20,6,0.57,5,4,3,83.32,90.11,2.43,2.24,1.09,0.64,0.26,1.33,-2.88,0.3720000000000001,0.00133,Soluble,-3.77,0.0477,0.000171,Soluble,-3.54,0.0813,0.000291,Soluble,High,No,Yes,No,No,No,No,No,-6.41,0,0,0,0,0,0.55,0,2,0,3.25
Molecule 42,CC[N+](CCOC(=O)[C@@](c1ccccc1)(C1CCCCC1)O)(CC)C,C21H34NO3,348.5,25,6,0.67,9,3,1,101.3,46.53,0.11,4.14,3.38,-0.74,3.6,2.1,-4.19,0.0224,6.42e-05,Moderately soluble,-4.82,0.005220000000000001,1.4999999999999999e-05,Moderately soluble,-5.79,0.00056,1.61e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.49,0,0,0,0,0,0.55,0,1,2,3.65
Molecule 43,CN1C(=O)CN=C(c2c1ccc(c2)[N+](=O)[O-])c1ccccc1F,C16H12FN3O3,313.28,23,12,0.12,2,5,0,91.72,78.49,2.05,2.06,2.21,1.54,1.7,1.91,-3.33,0.145,0.000463,Soluble,-3.34,0.14400000000000002,0.00045999999999999996,Soluble,-5.03,0.0029100000000000003,9.29e-06,Moderately soluble,High,No,No,No,Yes,No,No,Yes,-6.75,0,0,0,0,0,0.55,0,2,0,3.14
Molecule 44,O=C(OCc1ccccc1)NC[C@@H]1CN(C)[C@H]2[C@@H](C1)c1cccc3c1c(C2)cn3C,C25H29N3O2,403.52,30,15,0.4,6,3,1,123.13,46.5,3.74,3.79,3.53,3.24,3.19,3.5,-4.7,0.00799,1.98e-05,Moderately soluble,-4.46,0.014,3.46e-05,Moderately soluble,-6.52,0.000121,3e-07,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,Yes,-6.07,0,0,0,0,0,0.55,0,0,2,4.3
Molecule 45,Nc1nccc(n1)/C=C/c1ncc(n1C)[N+](=O)[O-],C10H10N6O2,246.23,18,11,0.1,3,5,1,67.68,115.44,1.03,0.85,0.66,-0.72,-1.48,0.07,-2.16,1.72,0.00698,Soluble,-2.86,0.342,0.00139,Soluble,-1.69,5.06,0.0206,Soluble,High,No,No,No,No,No,No,No,-7.2,0,0,0,0,0,0.55,0,2,1,2.9
Molecule 46,O=C1CN=C(c2c(N1)ccc(c2)[N+](=O)[O-])c1ccccc1,C15H11N3O3,281.27,21,12,0.07,2,4,1,86.86,87.28,1.57,2.25,1.43,0.9,1.36,1.5,-3.29,0.14400000000000002,0.0005099999999999999,Soluble,-3.72,0.0537,0.00019099999999999998,Soluble,-5.09,0.0022600000000000003,8.04e-06,Moderately soluble,High,No,No,Yes,No,No,No,Yes,-6.42,0,0,0,0,0,0.55,0,2,0,3.01
Molecule 47,CC([C@@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](OC(=O)[C@@H](N(C(=O)[C@H](OC(=O)[C@@H](N(C1=O)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C,C33H57N3O9,639.82,45,0,0.82,6,9,0,183.52,139.83,5.42,6.54,2.01,1.73,3.06,3.75,-7.53,1.88e-05,2.94e-08,Poorly soluble,-9.27,3.4e-07,5.32e-10,Poorly soluble,-4.14,0.0458,7.159999999999999e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-5.56,2,3,0,1,2,0.17,0,1,2,6.6
Molecule 48,CNCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@H](C(=O)O)C)Cc1nc[nH]c1)C(C)C)Cc1ccc(cc1)O)C(C)C)CCCN=C(N)N,C42H65N13O10,912.05,65,11,0.57,32,13,12,240.47,357.55,1.34,-2.63,-2.89,-3.41,1.15,-1.29,-1.85,12.9,0.0141,Very soluble,-4.33,0.0426,4.6700000000000003e-05,Moderately soluble,-6.5,0.00029,3.18e-07,Poorly soluble,Low,No,Yes,No,No,No,No,No,-13.73,3,4,2,1,6,0.17,0,2,2,7.61
Molecule 49,CC(OC(=O)C1=C(C)NC(=C([C@@H]1c1cccc(c1)[N+](=O)[O-])C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1)N)C,C33H34N4O6,582.65,43,18,0.27,11,7,2,170.13,139.71,4.16,5.18,3.61,2.58,2.38,3.58,-6.3,0.000292,5.02e-07,Poorly soluble,-7.86,8.04e-06,1.38e-08,Poorly soluble,-7.89,7.42e-06,1.27e-08,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,Yes,-6.18,1,3,1,1,1,0.55,0,3,3,5.62
Molecule 50,CN[C@@H]([C@H]1CC[C@@H]([C@@H](O1)O[C@@H]1[C@H](N)C[C@@H]([C@@H]([C@@H]1O)O[C@H]1OC[C@]([C@H]([C@H]1O)NC)(C)O)N)N)C,C21H43N5O7,477.6,33,0,1.0,7,12,8,118.31,199.73,2.18,-4.1,-3.33,-2.92,-3.56,-2.35,0.24,837.0,1.75,Highly soluble,0.51,1540.0,3.23,Highly soluble,0.52,1560.0,3.27,Soluble,Low,No,Yes,No,No,No,No,No,-12.12,2,2,1,1,4,0.17,0,0,1,6.51
Molecule 51,CSCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)CCNC(=O)OCC(C)C,C37H49N7O9S,767.89,54,15,0.43,28,9,8,202.26,276.21,2.71,2.19,1.38,-0.5,3.83,1.92,-4.34,0.0352,4.59e-05,Moderately soluble,-7.62,1.82e-05,2.3799999999999998e-08,Poorly soluble,-8.71,1.49e-06,1.94e-09,Poorly soluble,Low,No,Yes,No,No,No,No,No,-9.43,3,3,2,1,4,0.11,0,0,2,6.36
Molecule 52,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1N)O)O)O[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)CCC(=O)N)C)C)NC(=O)C,C25H43N5O15,653.63,45,0,0.8,18,16,11,144.6,331.78,1.28,-8.41,-6.53,-6.0,-5.05,-4.94,2.59,257000.0,392.0,Highly soluble,2.21,106000.0,162.0,Highly soluble,2.4,166000.0,254.0,Soluble,Low,No,Yes,No,No,No,No,No,-16.26,3,4,2,1,6,0.17,0,0,2,6.78
